"Measure_code","Topic","Measure","Chart_title","Measure_short","Polarity","y_axis_name","state_funded_flag","Table_status","Description","Last Update","Next Update","Data Owner (DO) /Supplier and Contact Details","Methodology","Hyperlink(s)","dps","Year_Type","No_Quartile"
"7","Health and Wellbeing","Children killed or seriously injured in road traffic accidents","Children killed or seriously injured in road traffic accidents - rate","RTA","Low","Rate per 100,000",NA,"Discontinued","Road traffic collisions are a major cause of deaths in children, and comprise higher proportions of accidental deaths as children get older. Parents cite vehicle speed and volume as reasons why they do not allow their children to walk or cycle, thereby reducing opportunities for physical activity.

Crude rate of children aged 0-15 years who were killed or seriously injured in road traffic accidents per 100,000 population","45413","TBC","Public Health England
","Numerator: The number of children aged 0-15 years that were killed or seriously injured in road traffic collisions.

Denominator: Mid year population estimates: single year of age and sex for local authorities in England (ages 0-15 years).


Go to original source to view confidence intervals","https://fingertips.phe.org.uk/profile/child-health-profiles/data#page/3/gid/1938133228/pat/6/par/E12000007/ati/402/are/E09000003/iid/90804/age/169/sex/4/cat/-1/ctp/-1/yrr/3/cid/4/tbm/1/page-options/car-do-0",2,"Calendar Year",NA
"315","Health and Wellbeing","Chlamydia detection rate","Chlamydia diagnosis rate (15-24 yr olds)","Chlamydia_Diagnosis","-","Rate per 100,000",NA,"Discontinued","All chlamydia diagnoses among 15 to 24 year olds accessing GUM clinics, primary care and community services in England who are also residents in England, expressed as a rate per 100,000 population. Data excludes people accessing services located in England who are residents in Wales, Scotland, Northern Ireland, abroad or where an area of residence cannot be attributed.","45536","45901","Public Health England","Rate per 100,000 population aged 15 to 24. The numerator is divided by the denominator and multiplied by 100,000.  - Numerator:  The number of people aged 15-24 diagnosed with chlamydia in England through publicly funded testing (does not include tests paid for privately). - Denominator:  Persons aged 15 to 24 living in the area.


Go to original source to view confidence intervals","https://fingertips.phe.org.uk/profile/sexualhealth",NA,"Calendar Year",NA
"351","Health and Wellbeing","Proportion of children aged 2-2½yrs offered ASQ-3","Children aged 2-2½yrs offered ASQ-3 as part of the Healthy Child Programme or integrated review (%)","HCP_PHOF","High","% 2-2½ year olds",NA,"None standard - manual process","The Department of Health is developing an outcome measure of child development at age 2 to 2½ years. The measure will help monitor child development across England in order to observe changes in population health from year to year, and potentially also use the data to track children’s outcomes as they grow up. It is very important that the indicator of child development at age 2 to 2½ is included in the PHOF. The indicator will help to build a picture of child development at age 2 to 2½ at national and local level. It will support local areas in assessing the effectiveness and impact of services for 0-2 year olds and with planning services for children age 2 and beyond. The data will also help to assess the effectiveness and impact of services for 0-2 year olds and support future planning. Data for the measure will be collected during the Healthy Child Programme (HCP) two year review or integrated review, where in place. The Ages and Stages Questionnaire-3 (ASQ-3) covers five domains of child development: communication, gross motor skills, fine motor skills, problem solving and personal-social development. Health visiting teams should have been using ASQ-3 as part of HCP two year reviews from April 2015. This indicator shows the proportion of 2 to 2½ reviews which use the ASQ-3. Understanding and publishing coverage statistics will inform the decision to publish the outcomes indicators that can be derived from the ASQ-3. Please see https://www.gov.uk/government/publications/healthy-child-programme-0-to-19-health-visitor-and-school-nurse-commissioning for more information.","45689","46054","Public Health England","Numerator: Total number of children for which the ASQ-3 is completed as part of their 2 to 2½ year review. Annual data is aggregated from quarterly data.

Denominator:  Total number of children who received a 2 to 2½ year review by the end of the period. Annual data is aggregated from quarterly data.


The numerator is divided by the denominator and multiplied by 100.

A process of estimation was applied to any local authority data where a return was submitted for only 3 quarters, no figure was submitted for any data item, or data failed validation. An estimated numerator for the missing quarter was calculated as an average of the numerators of the other 3 quarters, and the same for an estimated denominator. Where a numerator or denominator has been submitted as 0, no estimation has been performed. An annual numerator and denominator have been calculated based on the estimated numerator and denominator and the known numerators and denominators.

Go to original source to view confidence intervals","https://fingertips.phe.org.uk/",2,"Financial Year",NA
"305","Child Protection","Number of referrals to Children's Social Services","Number of referrals to Children's Social Services","CPP_Total_NumRef","-","Number of children",NA,"c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv","A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.

A referral may result in: 

an assessment of the child’s need
the provision of information or advice
referral to another agency
or no further action.
If a child is referred more than once in the year then each referral is counted","45566","45931","DfE","Number of referrals to children's social services within the current year","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",0,"Financial Year",NA
"305","Child Protection","Rates per 10,000 of referrals to Children's Social Services","Rates per 10,000 of referrals to Children's Social Services","CPP_Total_Rateper10,000","-","Rate per 10,000",NA,"c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv","A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.

A referral may result in: 

an assessment of the child’s need
the provision of information or advice
referral to another agency
or no further action.
If a child is referred more than once in the year then each referral is counted","45566","45931","DfE","Number of referrals to children's social services within the current year","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"290","Child Protection","Referrals to children's social care closed with no further action","Referrals to children's social care closed with no further action (%)","CIN_Refferals_NFA","-","% of referrals",NA,"c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv","A count of referrals in the collection year 1 April to 31 March where the referral resulted in no further action. Referrals resulting in no further action are not included in the other children in need population measures (eg, the number of children in need at 31 March).

A count of referrals within the collection year 1 April to 31 March, where: The referral does not end in no further action before an assessment has taken place 
The referral has an assessment, but no further activity such as a child protection plan;
and
The referral has reason for closure recorded as ‘RC8, case closed after assessment, no further action’ or 'RC9, case closed after assessment, referred to early help'

Referrals which led to an assessment where the child was assessed as not in need of services are not included in the other children in need population measures (eg, the number of children in need at 31 March).","45566","45931","DfE","On receipt of a referral the local authority has one working day to decide what further work needs to be done. If more investigation is needed then an initial assessment will be carried out. However, it may be that the referral can be resolved by providing some information, or referring to another agency or in some cases, no further action at all is needed.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"290","Child Protection","Referrals where the child is assessed but not found to be in need","Referrals which resulted in an assessment and the child was assessed not to be in need (%)","Referrals_AssessedNotNeed","-","% of referrals",NA,"c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv","A count of referrals in the collection year 1 April to 31 March where the referral resulted in no further action. Referrals resulting in no further action are not included in the other children in need population measures (eg, the number of children in need at 31 March).

A count of referrals within the collection year 1 April to 31 March, where: The referral does not end in no further action before an assessment has taken place 
The referral has an assessment, but no further activity such as a child protection plan;
and
The referral has reason for closure recorded as ‘RC8, case closed after assessment, no further action’ or 'RC9, case closed after assessment, referred to early help'

Referrals which led to an assessment where the child was assessed as not in need of services are not included in the other children in need population measures (eg, the number of children in need at 31 March).","45566","45931","DfE","On receipt of a referral the local authority has one working day to decide what further work needs to be done. If more investigation is needed then an initial assessment will be carried out. However, it may be that the referral can be resolved by providing some information, or referring to another agency or in some cases, no further action at all is needed.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"374","Child Protection","% referrals completed by source of referral - School","Referrals completed by children's social care services by source of referral - School (%)","RefBySource_Schl_%","-","% of referrals",NA,"Special Request","Percent of referrals completed by children's social care services, in the year ending 31 March, by source of referral 

A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.

A referral may result in: 

an assessment of the child’s need
the provision of information or advice
referral to another agency
or no further action.
If a child is referred more than once in the year then each referral is counted in the figures in this publication.","45597","45962","DfE","If a child has more than one referral in year then each referral is counted.

'Health services' includes referral from GPs, health visitors, school nurses, other primary health services, A&E and other health services.

Note - Data for the years ending 31 March 2021 and 2022 is not available for Hackney local authority, therefore 2020 data for Hackney has been included in 2021 and 2022 national totals, and regional totals for inner London and London. Refer to the methodology section for more information.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"374","Child Protection","% referrals completed by source of referral - Health Service","Referrals completed by children's social care services by source of referral - Health Service (%)","RefBySource_HealthServ_%","-","% of referrals",NA,"Special Request","Percent of referrals completed by children's social care services, in the year ending 31 March, by source of referral 

A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.

A referral may result in: 

an assessment of the child’s need
the provision of information or advice
referral to another agency
or no further action.
If a child is referred more than once in the year then each referral is counted in the figures in this publication.","45597","45962","DfE","If a child has more than one referral in year then each referral is counted.

'Health services' includes referral from GPs, health visitors, school nurses, other primary health services, A&E and other health services.

Note - Data for the years ending 31 March 2021 and 2022 is not available for Hackney local authority, therefore 2020 data for Hackney has been included in 2021 and 2022 national totals, and regional totals for inner London and London. Refer to the methodology section for more information.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"374","Child Protection","% referrals completed by source of referral - Police","Referrals completed by children's social care services by source of referral - Police (%)","RefBySource_Police_%","-","% of referrals",NA,"Special Request","Percent of referrals completed by children's social care services, in the year ending 31 March, by source of referral 

A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.

A referral may result in: 

an assessment of the child’s need
the provision of information or advice
referral to another agency
or no further action.
If a child is referred more than once in the year then each referral is counted in the figures in this publication.","45597","45962","DfE","If a child has more than one referral in year then each referral is counted.

'Health services' includes referral from GPs, health visitors, school nurses, other primary health services, A&E and other health services.

Note - Data for the years ending 31 March 2021 and 2022 is not available for Hackney local authority, therefore 2020 data for Hackney has been included in 2021 and 2022 national totals, and regional totals for inner London and London. Refer to the methodology section for more information.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"271","Child Protection","Percentage of re-referrals to children's social care within 12 months","Re-referrals to children's social care within 12 months of the previous referral (%)","ReReferral","Low","% of referrals",NA,"c1_children_in_need_referrals_and_rereferrals_2013_to_2023.csv","Percentage of referrals to children's social care within 12 months of a previous referral","45566","45931","DfE","A referral is defined for the purposes of the children in need census as ‘a request for services to be provided by children’s social care services’. This is in respect of a case where the child is not previously known to the local authority, or where the case was previously open but is now closed. A referral should not be recorded if there is a case for the child already open. A referral can be made by a professional from one of many different agencies (typically in the health and education sectors) but the term as used here is a broad one which encompasses referrals from any source, including self-referrals.","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"304","Child Protection","Continuous assessments completed within 45 working days","Continuous assessments completed within 45 working days (%)","Continue_Assess_Comp","High","% completed to time",NA,"Special Request","Local authorities undertake assessments of the needs of individual children to determine what services to provide and action to take. An assessment should be completed within 45 working days of a referral.

An assessment is undertaken for any child who has been referred to children’s social care services with a request that services be provided. Statutory guidance ‘Working Together to Safeguard Children’ was revised in 2013 (and again in 2018) giving local authorities more flexibility when assessing children. Previously, local authorities carried out an initial assessment within 10 working days and (where needed) a more in-depth core assessment within 35 working days. All local authorities now carry out a single continuous assessment within 45 working days.","45597","45962","DfE","Number of continuous assessments completed - Figures are a count of continuous assessments with an end date recorded within the collection year.
","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"217","Child Protection","Section 47 enquiries rate per 10,000 children","Section 47 enquiries which started during the year - rate","Section_47","-","Rate per 10,000",NA,"c4_children_in_need_section_47s_and_icpcs_2013_to_2023.csv","Rate of section 47 enquiries per 10,000 of population

If a local authority identifies there is reasonable cause to suspect the child is suffering, or is likely to suffer significant harm, it will carry out an assessment under section 47 of the Children Act 1989 to determine if it needs to take steps to safeguard and promote the welfare of the child. If concerns are substantiated and the child is judged to be at continuing risk of harm then an initial child protection conference should be convened within 15 working days. The conference will result in a decision on whether or not the child will become the subject of a child protection plan.","45566","45931","DfE","-","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
"218","Child Protection","Percentage of child protection conferences held within 15 days","Initial child protection conferences held within 15 days of the start of the section 47 enquiries which led to a conference (%)","CP_conf_15days","High","% conferences held",NA,"Special Request","Where concerns about a child’s welfare are substantiated and the agencies most involved judge that a child may continue to suffer, or be at risk of suffering significant harm, the social care services department should convene an initial child protection conference. The purpose of the conference is to draw together the information that has been obtained and to make judgements on whether the child is at continuing risk of significant harm and whether he or she therefore requires a child protection plan to be put in place. It is set out in the inter-agency guidance “Working Together to Safeguard Children” that an initial child protection conference should take place within 15 working days of the strategy discussion which decided whether s.47 enquiries should be initiated. The conference will result in a decision on whether the child will become the subject of a plan or not.","45597","45962","DfE","-","https://explore-education-statistics.service.gov.uk/find-statistics/characteristics-of-children-in-need",NA,"Financial Year",NA
